Параметр;Нагрузка, т/ч;Расход воздуха, м3/ч;Расход метана, м3/ч;Расход биогаза, м3/ч;СН4, %;С2Н6, %;C3H8, %;СО2, %;N2, %;O2, %;H2S, %;H2, %;O2, %;N2, %;CO2, %;H2O, %;Тип амбразуры;Температура исходного воздуха, К;Температура топлива;Угол наклона лопаток завихрителя;Модель горения;Модель турбулентности;Размер сетки;коэф изб возд;Nox, мг/м3;CO, мг/м3;Тух, К;Тядра, K
52;500;51450;5000;0;98;2;0;0,84;1,05;0;0;0;0,2315;0,7685;0;0;Диффузорная;451;15;0;FGM;k-e;0,4;1,05;326,3;0;408;2160
53;170;20959,75;1812,5;0;98;2;0;0,84;1,05;0;0;0;0,2315;0,7685;0;0;Диффузорная;446;15;0;FGM;k-e;0,4;1,18;189,1;0;388;1900
54;200;22788,675;1987,5;0;98;2;0;0,84;1,05;0;0;0;0,2315;0,7685;0;0;Диффузорная;447;15;0;FGM;k-e;0,4;1,17;183,2;0;390;2025
55;250;28126;2562,5;0;98;2;0;0,84;1,05;0;0;0;0,2315;0,7685;0;0;Диффузорная;448;15;0;FGM;k-e;0,4;1,12;225,4;0;392;2090
56;300;31127,25;2887,5;0;98;2;0;0,84;1,05;0;0;0;0,2315;0,7685;0;0;Диффузорная;448;15;0;FGM;k-e;0,4;1,1;244;0;395;2060
57;350;36852,9;3450;0;98;2;0;0,84;1,05;0;0;0;0,2315;0,7685;0;0;Диффузорная;449;15;0;FGM;k-e;0,4;1,09;261;0;401;2122
58;400;42071,4;3975;0;98;2;0;0,84;1,05;0;0;0;0,2315;0,7685;0;0;Диффузорная;450;15;0;FGM;k-e;0,4;1,08;267,7;0;405;2160
59;450;44827,65;4275;0;98;2;0;0,84;1,05;0;0;0;0,2315;0,7685;0;0;Диффузорная;451;15;0;FGM;k-e;0,4;1,07;296,9;0;409;2165
60;500;51450;5000;0;98;2;0;0,84;1,05;0;0;0;0,2315;0,7685;0;0;Диффузорная;452;15;0;FGM;k-e;0,4;1,05;330,4;0;412;2170
61;170;18786,6;1775;0;98;2;0;0,84;1,05;0;0;0;0,2315;0,7685;0;0;Диффузорная;446;15;0;FGM;k-e;0,4;1,08;143,3;0;385;1890
62;200;20709,85;1975;0;98;2;0;0,84;1,05;0;0;0;0,2315;0,7685;0;0;Диффузорная;447;15;0;FGM;k-e;0,4;1,07;150,5;0;386;1900
63;250;27132,525;2587,5;0;98;2;0;0,84;1,05;0;0;0;0,2315;0,7685;0;0;Диффузорная;448;15;0;FGM;k-e;0,4;1,07;160,9;0;388;1902
64;300;31326,925;2987,5;0;98;2;0;0,84;1,05;0;0;0;0,2315;0,7685;0;0;Диффузорная;448;15;0;FGM;k-e;0,4;1,07;200,3;0;390;2021
65;350;36552,775;3518,75;0;98;2;0;0,84;1,05;0;0;0;0,2315;0,7685;0;0;Диффузорная;449;15;0;FGM;k-e;0,4;1,06;233,3;0;398;2182
66;400;41681,85;4012,5;0;98;2;0;0,84;1,05;0;0;0;0,2315;0,7685;0;0;Диффузорная;450;15;0;FGM;k-e;0,4;1,06;241,8;0;399;2136
67;450;46486,3;4475;0;98;2;0;0,84;1,05;0;0;0;0,2315;0,7685;0;0;Диффузорная;451;15;0;FGM;k-e;0,4;1,06;284,4;0;403;2150
68;500;51940;5000;0;98;2;0;0,84;1,05;0;0;0;0,2315;0,7685;0;0;Диффузорная;452;15;0;FGM;k-e;0,4;1,06;327;0;407;2145
69;190;25575,55;1787,5;0;98;2;0;0,84;1,05;0;0;0;0,2315;0,7685;0;0;Диффузорная;484;25;0;FGM;k-e;0,4;1,46;277,1;0;372;1623
70;250;26577,6;2400;0;98;2;0;0,84;1,05;0;0;0;0,2315;0,7685;0;0;Диффузорная;490;25;0;FGM;k-e;0,4;1,13;288,9;0;374,8;1708
71;300;33083,575;2987,5;0;98;2;0;0,84;1,05;0;0;0;0,2315;0,7685;0;0;Диффузорная;491;14;0;FGM;k-e;0,4;1,13;331;0;379,8;1798
72;400;43218;3937,5;0;98;2;0;0,84;1,05;0;0;0;0,2315;0,7685;0;0;Диффузорная;506;10;0;FGM;k-e;0,4;1,12;368,7;0;383,3;1803
73;460;47784,8;4600;0;98;2;0;0,84;1,05;0;0;0;0,2315;0,7685;0;0;Диффузорная;518;12;0;FGM;k-e;0,4;1,06;393;0;395,8;2063
74;500;51450;5000;0;98;2;0;0,84;1,05;0;0;0;0,2315;0,7685;0;0;Диффузорная;523;13;0;FGM;k-e;0,4;1,05;440,5;0;404,8;2160
75;400;5044,85625;504,6875;0;98;2;0;0,84;1,05;0;0;0;0,2315;0,7523;0,0052;0,0110;Диффузорная;477;10;0;FGM;k-w;1;1,02;331,62;1,5;378;2184,7
76;400;5044,85625;504,6875;0;98;2;0;0,84;1,05;0;0;0;0,2315;0,7523;0,0052;0,0110;Диффузорная;477;10;0;FGM kinetic flame;k-e;1;1,02;386,51;1,5;380;2198
77;400;5044,85625;504,6875;0;98;2;0;0,84;1,05;0;0;0;0,2315;0,7523;0,0052;0,0110;Диффузорная;477;10;0;CFM;k-e;1;1,02;399,9;1,5;379;2188
78;220;34986;0;3500;30,41;14,58;9,09;0;0;0;0;50,1;0,2315;0,7685;0;0;Диффузорная;477;10;0;FGM;k-e;1;1,02;399,9;1,5;401;2055
79;230;36235,5;0;3625;30,41;14,58;9,09;0;0;0;0;50,1;0,2315;0,7685;0;0;Диффузорная;477;10;0;FGM;k-e;1;1,02;399,9;1,5;408;2080
80;250;37485;0;3750;30,41;14,58;9,09;0;0;0;0;50,1;0,2315;0,7685;0;0;Диффузорная;477;10;0;FGM;k-e;1;1,02;399,9;1,5;410;2092
81;450;43732,5;0;4375;30,41;14,58;9,09;0;0;0;0;50,1;0,2315;0,7685;0;0;Диффузорная;477;10;0;FGM;k-e;1;1,02;399,9;1,5;405;2120
82;500;49980;0;5000;30,41;14,58;9,09;0;0;0;0;50,1;0,2315;0,7685;0;0;Диффузорная;477;10;0;FGM;k-e;1;1,02;399,9;1,5;411;2121
83;440;55257,3;4475;0;98;2;0;0,84;1,05;0;0;0;0,2315;0,7685;0;0;Диффузорная;483;10;0;FGM;k-e;0,1;1,26;270;22;373;2178
84;452;46921,224;4694;0;98;2;0;0,84;1,05;0;0;0;0,2315;0,7685;0;0;Диффузорная;507,1;10;0;FGM;k-e;0,1;1,02;268;0;363,5;2171
85;442;53030,25;4625;0;98;2;0;0,84;1,05;0;0;0;0,2315;0,7685;0;0;Диффузорная;502;10;0;FGM;k-e;0,1;1,17;270;5;360;2160
86;434;53649,12;4562;0;98;2;0;0,84;1,05;0;0;0;0,2315;0,7685;0;0;Диффузорная;499;10;0;FGM;k-e;0,1;1,2;270;5;355;2100
87;389;48852,216;4086;0;98;2;0;0,84;1,05;0;0;0;0,2315;0,7685;0;0;Диффузорная;489;10;0;FGM;k-e;0,1;1,22;300;7;350;2089
88;388;46329,5;3875;0;98;2;0;0,84;1,05;0;0;0;0,2315;0,7685;0;0;Диффузорная;496;10;0;FGM;k-e;0,1;1,22;300;7;352;2092
89;403;46676,224;3904;0;98;2;0;0,84;1,05;0;0;0;0,2315;0,7685;0;0;Диффузорная;504;10;0;FGM;k-e;0,1;1,22;300;7;354;2099
90;200;22432,2;2100;0;98;2;0;0,84;1,05;0;0;0;0,2315;0,7685;0;0;Диффузорная;456;10;0;FGM;k-e;0,1;1,09;133,87;0;348;1950
91;280;29762,208;2812;0;98;2;0;0,84;1,05;0;0;0;0,2315;0,7685;0;0;Диффузорная;457;10;0;FGM;k-e;0,1;1,08;139,61;0;350;1955
92;300;31583,832;3012;0;98;2;0;0,84;1,05;0;0;0;0,2315;0,7685;0;0;Диффузорная;461;10;0;FGM;k-e;0,1;1,07;172,12;0;354;2030
93;350;37088,982;3537;0;98;2;0;0,84;1,05;0;0;0;0,2315;0,7685;0;0;Диффузорная;462;10;0;FGM;k-e;0,1;1,07;183,6;0;358;2067
94;400;43764,644;4213;0;98;2;0;0,84;1,05;0;0;0;0,2315;0,7685;0;0;Диффузорная;475;10;0;FGM;k-e;0,1;1,06;198,9;0;365;2101
95;450;49844,172;4938;0;98;2;0;0,84;1,05;0;0;0;0,2315;0,7685;0;0;Диффузорная;480;10;0;FGM;k-e;0,1;1,03;206,55;0;373;2105
96;500;53728,5;5375;0;98;2;0;0,84;1,05;0;0;0;0,2315;0,7685;0;0;Диффузорная;483;10;0;FGM;k-e;0,1;1,02;216,11;0;382;2110
97;200;24677,38;1937;0;98;2;0;0,84;1,05;0;0;0;0,2315;0,7685;0;0;Диффузорная;478;10;0;FGM;k-e;0,1;1,3;219,94;1,16;355;2112
98;250;30092,076;2437;0;98;2;0;0,84;1,05;0;0;0;0,2315;0,7685;0;0;Диффузорная;478;10;0;FGM;k-e;0,1;1,26;225,67;1,16;358;2144
99;300;33099,99;2937;0;98;2;0;0,84;1,05;0;0;0;0,2315;0,7685;0;0;Диффузорная;479;10;0;FGM;k-e;0,1;1,15;258,18;0;362;2145
100;350;36382,5;3375;0;98;2;0;0,84;1,05;0;0;0;0,2315;0,7685;0;0;Диффузорная;481;10;0;FGM;k-e;0,1;1,1;269,7;1,16;366;2147
101;400;41772,5;3875;0;98;2;0;0,84;1,05;0;0;0;0,2315;0,7685;0;0;Диффузорная;491;10;0;FGM;k-e;0,1;1,1;342,33;0;370;2155
102;450;45707,2;4400;0;98;2;0;0,84;1,05;0;0;0;0,2315;0,7685;0;0;Диффузорная;492;10;0;FGM;k-e;0,1;1,06;363,37;1,16;378;2170
103;500;49208,25;4875;0;98;2;0;0,84;1,05;0;0;0;0,2315;0,7685;0;0;Диффузорная;496;10;0;FGM;k-e;0,1;1,03;426,68;2,33;391;2198
